"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input"
"Animalia","Chordata","Teleostei","Aulopiformes","Ipnopidae","Bathytyphlops","Bathytyphlops marionae",158864,"Marine","Bathytyphlops marionae"
"Animalia","Chordata","Teleostei","Aulopiformes","Notosudidae","Ahliesaurus","Ahliesaurus berryi",126347,"Marine","Ahliesaurus berryi"
"Animalia","Chordata","Teleostei","Aulopiformes","Notosudidae","Scopelosaurus","Scopelosaurus argenteus",126348,"Marine","Scopelosaurus argenteus"
"Animalia","Chordata","Teleostei","Aulopiformes","Notosudidae","Scopelosaurus","Scopelosaurus harryi",272082,"Marine","Scopelosaurus harryi"
"Animalia","Chordata","Teleostei","Aulopiformes","Notosudidae","Scopelosaurus","Scopelosaurus lepidus",126349,"Marine","Scopelosaurus lepidus"
"Animalia","Chordata","Teleostei","Aulopiformes","Notosudidae","Scopelosaurus","Scopelosaurus mauli",158869,"Marine","Scopelosaurus mauli"
"Animalia","Chordata","Teleostei","Aulopiformes","Notosudidae","Scopelosaurus","Scopelosaurus smithii",126350,"Marine","Scopelosaurus smithii"
"Animalia","Chordata","Teleostei","Aulopiformes","Omosudidae","Omosudis","Omosudis lowii",272087,"Marine","Omosudis lowii"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Arctozenus","Arctozenus risso",126352,"Marine","Arctozenus risso"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Lestidiops","Lestidiops affinis",126353,"Marine","Lestidiops affinis"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Lestidiops","Lestidiops jayakari",126354,"Marine","Lestidiops jayakari"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Lestidiops","Lestidiops ringens",272096,"Marine","Lestidiops ringens"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Lestidium","Lestidium atlanticum",158871,"Marine","Lestidium atlanticum"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Lestrolepis","Lestrolepis intermedia",158873,"Marine","Lestrolepis intermedia"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Macroparalepis","Macroparalepis affinis",126356,"Marine","Macroparalepis affinis"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Macroparalepis","Macroparalepis brevis",126357,"Marine","Macroparalepis brevis"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Magnisudis","Magnisudis atlantica",126359,"Marine","Magnisudis atlantica"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Paralepis","Paralepis brevirostris",126360,"Marine","Paralepis brevirostris"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Paralepis","Paralepis coregonoides",126361,"Marine","Paralepis coregonoides"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Paralepis","Paralepis elongata",158874,"Marine","Paralepis elongata"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Stemonosudis","Stemonosudis intermedia",158750,"Marine","Stemonosudis intermedia"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Sudis","Sudis hyalina",126362,"Marine","Sudis hyalina"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Uncisudis","Uncisudis advena",272101,"Marine","Uncisudis advena"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Uncisudis","Uncisudis longirostra",126363,"Marine","Uncisudis longirostra"
"Animalia","Chordata","Teleostei","Aulopiformes","Scopelarchidae","Benthalbella","Benthalbella dentata",254572,"Marine","Benthalbella dentata"
"Animalia","Chordata","Teleostei","Aulopiformes","Scopelarchidae","Benthalbella","Benthalbella infans",126365,"Marine","Benthalbella infans"
"Animalia","Chordata","Teleostei","Aulopiformes","Scopelarchidae","Benthalbella","Benthalbella linguidens",272103,"Marine","Benthalbella linguidens"
"Animalia","Chordata","Teleostei","Aulopiformes","Scopelarchidae","Scopelarchoides","Scopelarchoides danae",158755,"Marine","Scopelarchoides danae"
"Animalia","Chordata","Teleostei","Aulopiformes","Scopelarchidae","Scopelarchus","Scopelarchus analis",126367,"Marine","Scopelarchus analis"
"Animalia","Chordata","Teleostei","Aulopiformes","Scopelarchidae","Scopelarchus","Scopelarchus michaelsarsi",126368,"Marine","Scopelarchus michaelsarsi"
"Animalia","Chordata","Teleostei","Aulopiformes","Bathysauridae","Bathysaurus","Bathysaurus ferox",126369,"Marine","Bathysaurus ferox"
