"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input","dist","ocean","source","domain","inCanada"
"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Prionotus","Prionotus stearnsi",159576,"Marine","Prionotus stearnsi",918.251150334546,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Chasmodes","Chasmodes bosquianus",159598,"Marine-Brackish","Chasmodes bosquianus",563.022440562361,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Oligoplites","Oligoplites saurus",159645,"Marine-Brackish","Oligoplites saurus",240.894882788568,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Uraspis","Uraspis secunda",159658,"Marine","Uraspis secunda",378.45035950766,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon capistratus",159661,"Marine","Chaetodon capistratus",259.977338556484,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon striatus",159663,"Marine","Chaetodon striatus",770.352477616375,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Carangiformes","Echeneidae","Echeneis","Echeneis neucratoides",159678,"Marine","Echeneis neucratoides",223.147585483483,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Gobiiformes","Eleotridae","Dormitator","Dormitator maculatus",159700,"Marine-Freshwater-Brackish","Dormitator maculatus",664.536884264866,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Acropomatiformes","Epigonidae","Epigonus","Epigonus pectinifer",159707,"Marine","Epigonus pectinifer",410.378635381696,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Neoepinnula","Neoepinnula americana",159712,"Marine","Neoepinnula americana",302.944489143477,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Gerreidae","Diapterus","Diapterus auratus",159726,"Marine-Brackish","Diapterus auratus",281.598869083675,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Evorthodus","Evorthodus lyricus",159743,"Marine-Freshwater-Brackish","Evorthodus lyricus",971.49339505147,"Atlantic","OBIS extended search","extended search","outside"
